sentence_key	expe_sentence_key	OK_Expe_perception	texte_expe	type-de-phrase	OK_praat_seg	neg	num_syll_OK_Expe_perception	wh-type	presence-eske	The Voice Contest	wh-in-situ-final	func-wh	texte	dossier-brat	nombre-de-mots	pos-wh	quality-wh	rheto-wh	subj-DP	subj-clit	subj-ce	nombre-subj	inverted-subj	comp	nombre-comp	lex-restr	partitif	est-ce-que	nombre_verbes	flexion-et	type-de-verbe-et	extraction-site	notes	partie-a-enlever	nombre-partie-a-enlever-mots	nombre-mots-a-enlever	dislocation-droite	attention-dernier-mot	fin-partie-enlever	locuteur	texte_turn_brut	spk_id	TEMPspkid	spk_age	spk_sex	nombre_syll
WE2_A019_5499	033-we-1-AG-9-WE2_A019_5499	YES	qu'est-ce que tu penses de la langue des jeunes ?	wh-ex-situ	YES	NO	8	que-qu	YES	3	NO	objet	qu'est-ce que tu penses de la langue des jeunes ?													NO														spk1		ch_BH8	AG	NOAGE	M	
WE2_A020_6349		NO	vous aimez le rosé ? 	yes-no	NA	NO	6	NO	NO	3	NO	NO	vous aimez le rosé ? 	whisf-eslo2-yn	4	NO	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	NON	NON	NO	NO	NO	0	0	NO	NO	NO	spk2	vous aimez le rosé ?	XF20MER		NOAGE	F	6
WE2_A021_5776		NO	tu trouves comment la vie à orléans ? 	wh-in-situ	NA	NO	10	comment	NO	3	NO	autre	finalement tu trouves comment la vie à Orléans ? 	whisf-eslo2	8	in-situ	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	flechi	lexical	YES	NO	NO	0	0	NO	NO	NO	spk2	finalement tu trouves comment la vie à Orléans ?	ch_BH8		NOAGE	M	13
WE2_A021_630s927	019-de-0-AS-8-WE2_A021_630s927	YES	je viens d'acheter une petite maison	decla	YES	NO	9	NO	NO	3	NO	NO	non parce que je viens d'acheter une petite maison  	WE2_decl_9	9	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	non parce que je viens d'acheter une petite maison 	DF22	AS	NOAGE	F	12
WE2_A021_6777	096-yn-0-AG-6-WE2_A021_6777	YES	tu parles un peu anglais ? 	yes-no	YES	NO	6	NO	NO	3	NO	NO	ouais tu parles un peu anglais ? 	whisf-eslo2-yn	6	NO	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	NON	NON	NO	NO	NO	0	0	NO	NO	NO	spk2	ouais tu parles un peu anglais ?	ch_BH8	AG	NOAGE	M	7
WE2_A022_11963	031-we-0-AF-4-WE2_A022_11963	YES	comment ils parlent ? 	wh-ex-situ	YES	NO	4	comment	NO	3	NO	autre	comment ils parlent ? 	whisf-eslo2	3	ex-situ	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	flechi	lexical	YES	NO	NO	0	0	NO	NO	NO	spk2	et les jeunes ? comment ils parlent ?	ch_AC7	AF	NOAGE	F	4
WE2_A022_8756	032-we-1-AF-6-WE2_A022_8756	YES	qu'est-ce que ça donne maintenant ?	wh-ex-situ	YES	NO	6	que-qu	YES	3	NO	objet	qu'est-ce que ça donne maintenant ?													NO														spk2		ch_AC7	AF	NOAGE	F	
WE2_A025_3273	101-yn-0-AM-11-WE2_A025_3273	YES	tu étais la seule qui surveillait les enfants ? 	yes-no	YES	NO	11	NO	NO	3	NO	NO	tu étais la seule qui surveillait les enfants ? 	whisf-eslo2-yn	8	NO	NO	NO	NO	subj-clitic	NO	1	NO	relative	1	NO	NO	0	2	NON	NON	NO	NO	NO	0	0	NO	NO	NO	spk1	tu étais la seule qui surveillait les enfants ?	ch_PP6	AM	NOAGE	F	12
WE2_A025_4106	044-we-0-AM-9-WE2_A025_4106	YES	à quel âge tu as commencé alors ? 	wh-ex-situ	YES	NO	9	quel	NO	3	NO	autre	d'accord et à quel âge tu as commencé alors ? 	whisf-eslo2-yn	9	ex-situ	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	lexical-restriction	NO	0	1	flechi	lexical	YES	NO	NO	0	0	NO	NO	NO	spk1	d'accord et à quel âge tu as commencé alors ?	ch_PP6	AM	NOAGE	F	14
WE2_A025_8981	102-yn-0-AM-8-WE2_A025_8981	YES	tu avais été interviewée ? 	yes-no	YES	NO	8	NO	NO	4	NO	NO	tu avais été interviewée ? 	whisf-eslo2-yn	4	NO	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	NON	NON	NO	NO	NO	0	0	NO	NO	NO	spk1	tu avais été interviewée ?	ch_PP6	AM	NOAGE	F	9
WE2_A025_9133	103-yn-0-AM-13-WE2_A025_9133	YES	tu connaissais avant d'habiter sur orléans ? 	yes-no	YES	NO	13	NO	NO	4	NO	NO	tu connaissais avant d'habiter sur Orléans ? 	whisf-eslo2-yn	6	NO	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	NON	NON	NO	NO	NO	0	0	NO	NO	NO	spk1	tu connaissais avant d'habiter sur Orléans ?	ch_PP6	AM	NOAGE	F	13
WE2_A031_7398	062-wi-0-AF-6-WE2_A031_7398	YES	tu le ressens comment ? 	wh-in-situ	YES	NO	5	comment	NO	3	YES	autre	et tu le ressens comment ? 	whisf-eslo2	5	in-situ	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	flechi	lexical	YES	NO	NO	0	0	NO	NO	NO	spk1	et tu le ressens comment ?	ch_AC7	AF	NOAGE	F	7
WE2_A037_2000	045-we-1-AM-6-WE2_A037_2000	YES	qu'est-ce qu'ils font tes parents ?	wh-ex-situ	YES	NO	6	que-qu	YES	3	NO	objet	et qu'est-ce qu'ils font tes parents ?													NO														spk1		ch_PP6	AM	NOAGE	F	
WE2_A037_55		NO	depuis quand est-ce que tu habites à Orléans ?	wh-ex-situ	NA	NO	12	quand	YES	3	NO	autre	depuis quand est-ce que tu habites à Orléans ?																											spk1		ch_PP6		NOAGE	F	
WE2_A046_1361	068-wi-0-AG-7-WE2_A046_1361	YES	ils travaillent dans quel domaine ? 	wh-in-situ	YES	NO	7	quel	NO	3	YES	autre	et les parents ils travaillent dans quel domaine ? 	whisf-eslo2	8	in-situ	NO	NO	subj-full-DP	subj-clitic	NO	2	NO	NO	0	lexical-restriction	NO	0	1	flechi	lexical	YES	NO	NO	0	0	NO	NO	NO	spk5	et les parents ils travaillent dans quel domaine ?	ch_BH8	AG	NOAGE	M	11
WE2_A046_5139		NO	laquelle des deux villes représente la région Centre ?	wh-ex-situ	NA	NO	12	quel	NO		NO	sujet	entre Orléans et Tours laquelle des deux villes représente la région Centre ?																											spk5		ch_BH8		NOAGE	M	
WE2_A048_143	072-wi-0-AK-8-WE2_A048_143	YES	vous êtes arrivés à quel âge ?	wh-in-situ	YES	NO	8	quel	NO	4	YES	autre	Nantes ouais et vous êtes arrivés à quel âge ?			in-situ										lexical-restriction														spk1		ch_MP10	AK	NOAGE	F	
WE2_A049_2230		NO	qu'est-ce que vous aimez faire ?	wh-ex-situ	NA	NO	6	que-qu	YES	2	NO	objet	qu'est-ce que vous faites qu'est-ce que v- comment est-ce que vous occupez votre temps euh qu'est-ce que vous aimez faire ?																											spk1		ch_MP10		NOAGE	F	
WE2_A058_1241	035-we-1-AK-9-WE2_A058_1241	YES	comment est-ce que vous vous y rendez ?	wh-ex-situ	YES	NO	9	comment	YES	4	NO	autre	et comment est-ce que vous vous y rendez ?													NO														spk1		ch_MP10	AK	NOAGE	F	
WE2_A062_4479	073-wi-0-AK-6-WE2_A062_4479	YES	vous étiez prof de quoi ? 	wh-in-situ	YES	NO	5	quoi	NO	3	YES	autre	vous étiez prof de quoi ? 	whisf-eslo2	5	in-situ	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	flechi	lexical	YES	NO	NO	0	0	NO	NO	NO	spk1	vous étiez prof de quoi ?	ch_MP10	AK	NOAGE	F	6
WE2_A062_4732s952	011-de-0-AN-9-WE2_A062_4732s952	YES	on va se promener à Orléans 	decla	YES	NO	8	NO	NO	3	NO	NO	mais pas pour dire on va se promener à Orléans 			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		CL67	AN	NOAGE	F	
WE2_A063_1111s566	006-de-0-AB-5-WE2_A063_1111s566	YES	c'est trop polémique 	decla	YES	NO	5	NO	NO	4	NO	NO	et pas de parents d'élèves non plus parce que c'est trop polémique 			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		AG68	AB	NOAGE	F	
WE2_A063_1163s289		NO	ils ne garderaient que les grandes sections 	decla	NA	NO	9	NO	NO	2	NO	NO	voire les petites sections parce que y avait même des rumeurs pendant un temps qui couraient comme quoi ils ne garderaient que les grandes sections 			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		AG68		NOAGE	F	
WE2_A063_537s475	007-de-0-AB-8-WE2_A063_537s475	YES	c'est quand même faisable en vélo 	decla	YES	NO	8	NO	NO	3	NO	NO	quoi c'est quand même faisable en vélo 			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		AG68	AB	NOAGE	F	
WE2_A063_783s321	008-de-0-AB-5-WE2_A063_783s321	YES	ils sont enthousiastes 	decla	YES	NO	6	NO	NO	3	NO	NO	ils sont toujours heu contents de tout ils sont enthousiastes 			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		AG68	AB	NOAGE	F	
WE2_A064_98	074-wi-0-AK-4-WE2_A064_98	YES	vous faisiez quoi ? 	wh-in-situ	YES	NO	4	quoi	NO	4	YES	objet	vous faisiez quoi ? 	whisf-eslo2	3	in-situ	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	flechi	lexical	YES	NO	NO	0	0	NO	NO	NO	spk1	vous faisiez quoi ?	ch_MP10	AK	NOAGE	F	4
WE2_A065_1669s441	001-de-0-AA-5-WE2_A065_1669s441	YES	il avait quatre ans 	decla	YES	NO	5	NO	NO	3	NO	NO	il est arrivé à Orléans il avait quatre ans 			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		70LOC	AA	NOAGE	F	
WE2_A065_2122s982	002-de-0-AA-6-WE2_A065_2122s982	YES	on est quinze maximum 	decla	YES	NO	6	NO	NO	4	NO	NO	donc en gros quand on se retrouve on est quinze maximum 			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		70LOC	AA	NOAGE	F	
WE2_A065_2168s08	003-de-0-AA-6-WE2_A065_2168s08	YES	je vais souvent au théâtre 	decla	YES	NO	7	NO	NO	4	NO	NO	je vais souvent au théâtre 			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		70LOC	AA	NOAGE	F	
WE2_A065_3188s774	004-de-0-AA-6-WE2_A065_3188s774	YES	je vous donne la recette 	decla	YES	NO	5	NO	NO	3	NO	NO	après promis je vous donne la recette 			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		70LOC	AA	NOAGE	F	
WE2_A065_3341s516	005-de-0-AA-5-WE2_A065_3341s516	YES	elle est plus onctueuse 	decla	YES	NO	6	NO	NO	3	NO	NO	elle est plus onctueuse 			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		70LOC	AA	NOAGE	F	
WE2_A066_6925	036-we-0-AK-12-WE2_A066_6925	YES	comment vous l'avez découvert le cotignac ? 	wh-ex-situ	YES	NO	12	comment	NO	3	NO	autre	alors comment vous l'avez découvert le Cotignac ? 	whisf-eslo2	7	ex-situ	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	flechi	lexical	YES	NO	NO	0	0	NO	NO	NO	spk1	alors comment vous l'avez découvert le Cotignac ?	ch_MP10	AK	NOAGE	F	14
WE2_A068_1341	037-we-0-AK-9-WE2_A068_1341	YES	comment ça se passe pour devenir nourrice ? 	wh-ex-situ	YES	NO	10	comment	NO	3	NO	autre	comment ça se passe pour devenir nourrice ? 	whisf-eslo2	7	ex-situ	NO	NO	subj-full-DP	NO	NO	1	NO	NO	0	NO	NO	0	1	flechi	lexical	YES	NO	NO	0	0	NO	NO	NO	spk2	comment ça se passe pour devenir nourrice ?	ch_MP10	AK	NOAGE	F	11
WE2_A069_2520	075-wi-0-AK-7-WE2_A069_2520	YES	vous vous y rendez comment ? 	wh-in-situ	YES	NO	7	comment	NO	3	YES	autre	hm et euh vous vous y rendez comment ? 	whisf-eslo2	8	in-situ	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	flechi	lexical	YES	NO	hm et euh	3	0	NO	NO	NO	spk1	hm et euh vous vous y rendez comment ?	ch_MP10	AK	NOAGE	F	12
WE2_A069_3246	076-wi-0-AK-7-WE2_A069_3246	YES	le quartier était comment ? 	wh-in-situ	YES	NO	7	comment	NO	4	YES	autre	il est le quand vous êtes arrivés le quartier était comment ? 	whisf-eslo2	11	in-situ	NO	NO	subj-full-DP	NO	NO	1	NO	NO	0	NO	NO	0	1	flechi	lexical	YES	NO	il est le	3	0	NO	NO	NO	spk1	il est le quand vous êtes arrivés le quartier était comment ?	ch_MP10	AK	NOAGE	F	16
WE2_A072_1316s637	012-de-0-AP-10-WE2_A072_1316s637	YES	j'ai fréquemment une voiture de service 	decla	YES	NO	9	NO	NO	3	NO	NO	sans compter le fait que pour mon travail j'ai fréquemment une voiture de service 			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		CZ903	AP	NOAGE	M	
WE2_A072_1713s52	017-de-0-AQ-14-WE2_A072_1713s52	YES	je m'occupais jusqu'à maintenant que de la région Centre 	decla	YES	NO	12	NO	NO	3	NO	NO	mais je m'occupais jusqu'à maintenant que de la région Centre 			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk3		CZ903FEM	AQ	NOAGE	F	
