sentence_key	OLD_sentence_key	texte_expe	item	type-de-phrase	audio_type	list	spk_sex	spk_id	num_syll	stim_num	wh-type	presence-eske	The Voice Contest	wh-in-situ-final	func-wh	OK_praat_seg	neg	texte	OK_Expe_perception	dossier-brat	OLDsentence_key	nombre-de-mots	pos-wh	quality-wh	rheto-wh	subj-DP	subj-clit	subj-ce	nombre-subj	inverted-subj	comp	nombre-comp	lex-restr	partitif	est-ce-que	nombre_verbes	flexion-et	type-de-verbe-et	extraction-site	notes	partie-a-enlever	nombre-partie-a-enlever-mots	nombre-mots-a-enlever	dislocation-droite	attention-dernier-mot	fin-partie-enlever	locuteur	texte_turn_brut	spk_age
088-de-OR-4-B-0-08-BC-F-WE2_A007_1392s98	088-de-OR-4-B-0-08-BC-F-WE2_A007_1392s98	il fait jour le matin et le soir  	4	decla	orig	B	F	ZU9	08	088	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
148-de-DE-4-C-0-08-BC-F-WE2_A007_1392s98	148-de-DE-4-C-0-08-BC-F-WE2_A007_1392s98	il fait jour le matin et le soir  	4	decla	delex	C	F	ZU9	08	148	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
003-de-CL-5-C-0-08-BC-F-WE2_A007_1541s511	003-de-CL-5-B-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	5	decla	clair	C	F	ZU9	08	003	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	je pense que c'est le quartier Bannier 	NOAGE
063-de-OR-5-A-0-08-BC-F-WE2_A007_1541s511	063-de-OR-5-C-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	5	decla	orig	A	F	ZU9	08	063	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	je pense que c'est le quartier Bannier 	NOAGE
123-de-DE-5-B-0-08-BC-F-WE2_A007_1541s511	123-de-DE-5-A-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	5	decla	delex	B	F	ZU9	08	123	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	je pense que c'est le quartier Bannier 	NOAGE
029-de-CL-6-B-0-12-BC-F-WE2_A007_2577s594	029-de-CL-6-C-0-12-BC-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	6	decla	clair	B	F	ZU9	12	029	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
089-de-OR-6-C-0-12-BC-F-WE2_A007_2577s594	089-de-OR-6-A-0-12-BC-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	6	decla	orig	C	F	ZU9	12	089	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
149-de-DE-6-A-0-12-BC-F-WE2_A007_2577s594	149-de-DE-6-B-0-12-BC-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	6	decla	delex	A	F	ZU9	12	149	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
004-de-CL-7-A-0-06-AU-F-WE2_A008_1238s554	004-de-CL-7-A-0-06-AU-F-WE2_A008_1238s554	je trouve que c'est dommage	7	decla	clair	A	F	HF8	06	004	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	et ça je trouve que c'est dommage 	NOAGE
064-de-OR-7-B-0-06-AU-F-WE2_A008_1238s554	064-de-OR-7-B-0-06-AU-F-WE2_A008_1238s554	je trouve que c'est dommage	7	decla	orig	B	F	HF8	06	064	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	et ça je trouve que c'est dommage 	NOAGE
124-de-DE-7-C-0-06-AU-F-WE2_A008_1238s554	124-de-DE-7-C-0-06-AU-F-WE2_A008_1238s554	je trouve que c'est dommage	7	decla	delex	C	F	HF8	06	124	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	et ça je trouve que c'est dommage 	NOAGE
030-de-CL-8-C-0-12-AU-F-WE2_A008_3247s562	030-de-CL-8-B-0-12-AU-F-WE2_A008_3247s562	c'est intéressant	8	decla	clair	C	F	HF8	12	030	NO	NO	3	NO	NO	YES	NO	bah tu peux donner ton avis c'est intéressant  	YES	WE2_decl_8	WE2_A008_3247s562	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	bah tu peux donner ton avis c'est intéressant 	NOAGE
090-de-OR-8-A-0-12-AU-F-WE2_A008_3247s562	090-de-OR-8-C-0-12-AU-F-WE2_A008_3247s562	c'est intéressant	8	decla	orig	A	F	HF8	12	090	NO	NO	3	NO	NO	YES	NO	bah tu peux donner ton avis c'est intéressant  	YES	WE2_decl_8	WE2_A008_3247s562	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	bah tu peux donner ton avis c'est intéressant 	NOAGE
150-de-DE-8-B-0-12-AU-F-WE2_A008_3247s562	150-de-DE-8-A-0-12-AU-F-WE2_A008_3247s562	c'est intéressant	8	decla	delex	B	F	HF8	12	150	NO	NO	3	NO	NO	YES	NO	bah tu peux donner ton avis c'est intéressant  	YES	WE2_decl_8	WE2_A008_3247s562	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	bah tu peux donner ton avis c'est intéressant 	NOAGE
005-de-CL-9-B-0-07-AU-F-WE2_A008_3922s864	005-de-CL-9-C-0-07-AU-F-WE2_A008_3922s864	c'est pas que la langue de banlieue	9	decla	clair	B	F	HF8	07	005	NO	NO	4	NO	NO	YES	NO	c'est pas que la langue de banlieue  	YES	WE2_decl_7	WE2_A008_3922s864	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	c'est pas que la langue de banlieue 	NOAGE
065-de-OR-9-C-0-07-AU-F-WE2_A008_3922s864	065-de-OR-9-A-0-07-AU-F-WE2_A008_3922s864	c'est pas que la langue de banlieue	9	decla	orig	C	F	HF8	07	065	NO	NO	4	NO	NO	YES	NO	c'est pas que la langue de banlieue  	YES	WE2_decl_7	WE2_A008_3922s864	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	c'est pas que la langue de banlieue 	NOAGE
125-de-DE-9-A-0-07-AU-F-WE2_A008_3922s864	125-de-DE-9-B-0-07-AU-F-WE2_A008_3922s864	c'est pas que la langue de banlieue	9	decla	delex	A	F	HF8	07	125	NO	NO	4	NO	NO	YES	NO	c'est pas que la langue de banlieue  	YES	WE2_decl_7	WE2_A008_3922s864	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	c'est pas que la langue de banlieue 	NOAGE
006-de-CL-10-A-0-09-AU-F-WE2_A008_3984s177	006-de-CL-10-A-0-09-AU-F-WE2_A008_3984s177	ils disent bonsoir même quand c'est le matin	10	decla	clair	A	F	HF8	09	006	NO	NO	4	NO	NO	YES	NO	ils disent bonsoir même quand c'est le matin  	YES	WE2_decl_8	WE2_A008_3984s177	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	ils disent bonsoir même quand c'est le matin 	NOAGE
066-de-OR-10-B-0-09-AU-F-WE2_A008_3984s177	066-de-OR-10-B-0-09-AU-F-WE2_A008_3984s177	ils disent bonsoir même quand c'est le matin	10	decla	orig	B	F	HF8	09	066	NO	NO	4	NO	NO	YES	NO	ils disent bonsoir même quand c'est le matin  	YES	WE2_decl_8	WE2_A008_3984s177	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	ils disent bonsoir même quand c'est le matin 	NOAGE
126-de-DE-10-C-0-09-AU-F-WE2_A008_3984s177	126-de-DE-10-C-0-09-AU-F-WE2_A008_3984s177	ils disent bonsoir même quand c'est le matin	10	decla	delex	C	F	HF8	09	126	NO	NO	4	NO	NO	YES	NO	ils disent bonsoir même quand c'est le matin  	YES	WE2_decl_8	WE2_A008_3984s177	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	ils disent bonsoir même quand c'est le matin 	NOAGE
007-de-CL-11-C-0-10-AT-F-WE2_A014_147s558	007-de-CL-11-B-0-10-AT-F-WE2_A014_147s558	elle est dans un lycée professionnel  	11	decla	clair	C	F	EW15	10	007	NO	NO	4	NO	NO	YES	NO	elle aime beaucoup aider les jeunes et elle est dans un lycée professionnel  	YES		WE2_A014_147s558		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
067-de-OR-11-A-0-10-AT-F-WE2_A014_147s558	067-de-OR-11-C-0-10-AT-F-WE2_A014_147s558	elle est dans un lycée professionnel  	11	decla	orig	A	F	EW15	10	067	NO	NO	4	NO	NO	YES	NO	elle aime beaucoup aider les jeunes et elle est dans un lycée professionnel  	YES		WE2_A014_147s558		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
127-de-DE-11-B-0-10-AT-F-WE2_A014_147s558	127-de-DE-11-A-0-10-AT-F-WE2_A014_147s558	elle est dans un lycée professionnel  	11	decla	delex	B	F	EW15	10	127	NO	NO	4	NO	NO	YES	NO	elle aime beaucoup aider les jeunes et elle est dans un lycée professionnel  	YES		WE2_A014_147s558		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
008-de-CL-12-B-0-08-AC-M-WE2_A016_2716s551	008-de-CL-12-C-0-08-AC-M-WE2_A016_2716s551	on était à santiago	12	decla	clair	B	M	BT17	08	008	NO	NO	3	NO	NO	YES	NO	on était à Santiago  	YES	WE2_decl_4	WE2_A016_2716s551	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	on était à Santiago 	NOAGE
068-de-OR-12-C-0-08-AC-M-WE2_A016_2716s551	068-de-OR-12-A-0-08-AC-M-WE2_A016_2716s551	on était à santiago	12	decla	orig	C	M	BT17	08	068	NO	NO	3	NO	NO	YES	NO	on était à Santiago  	YES	WE2_decl_4	WE2_A016_2716s551	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	on était à Santiago 	NOAGE
128-de-DE-12-A-0-08-AC-M-WE2_A016_2716s551	128-de-DE-12-B-0-08-AC-M-WE2_A016_2716s551	on était à santiago	12	decla	delex	A	M	BT17	08	128	NO	NO	3	NO	NO	YES	NO	on était à Santiago  	YES	WE2_decl_4	WE2_A016_2716s551	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	on était à Santiago 	NOAGE
009-de-CL-13-A-0-13-AX-M-WE2_A018_1809s772	009-de-CL-13-A-0-13-AX-M-WE2_A018_1809s772	je faisais beaucoup de musique aussi quand j'étais plus jeune  	13	decla	clair	A	M	UI19	13	009	NO	NO	3	NO	NO	YES	NO	je faisais beaucoup de musique aussi quand j'étais plus jeune  	YES		WE2_A018_1809s772		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
069-de-OR-13-B-0-13-AX-M-WE2_A018_1809s772	069-de-OR-13-B-0-13-AX-M-WE2_A018_1809s772	je faisais beaucoup de musique aussi quand j'étais plus jeune  	13	decla	orig	B	M	UI19	13	069	NO	NO	3	NO	NO	YES	NO	je faisais beaucoup de musique aussi quand j'étais plus jeune  	YES		WE2_A018_1809s772		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
129-de-DE-13-C-0-13-AX-M-WE2_A018_1809s772	129-de-DE-13-C-0-13-AX-M-WE2_A018_1809s772	je faisais beaucoup de musique aussi quand j'étais plus jeune  	13	decla	delex	C	M	UI19	13	129	NO	NO	3	NO	NO	YES	NO	je faisais beaucoup de musique aussi quand j'étais plus jeune  	YES		WE2_A018_1809s772		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
010-de-CL-14-C-0-09-AS-F-WE2_A021_630s927	010-de-CL-14-B-0-09-AS-F-WE2_A021_630s927	je viens d'acheter une petite maison	14	decla	clair	C	F	DF22	09	010	NO	NO	3	NO	NO	YES	NO	non parce que je viens d'acheter une petite maison  	YES	WE2_decl_9	WE2_A021_630s927	9	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	non parce que je viens d'acheter une petite maison 	NOAGE
070-de-OR-14-A-0-09-AS-F-WE2_A021_630s927	070-de-OR-14-C-0-09-AS-F-WE2_A021_630s927	je viens d'acheter une petite maison	14	decla	orig	A	F	DF22	09	070	NO	NO	3	NO	NO	YES	NO	non parce que je viens d'acheter une petite maison  	YES	WE2_decl_9	WE2_A021_630s927	9	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	non parce que je viens d'acheter une petite maison 	NOAGE
130-de-DE-14-B-0-09-AS-F-WE2_A021_630s927	130-de-DE-14-A-0-09-AS-F-WE2_A021_630s927	je viens d'acheter une petite maison	14	decla	delex	B	F	DF22	09	130	NO	NO	3	NO	NO	YES	NO	non parce que je viens d'acheter une petite maison  	YES	WE2_decl_9	WE2_A021_630s927	9	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	non parce que je viens d'acheter une petite maison 	NOAGE
011-de-CL-15-B-0-08-AN-F-WE2_A062_4732s952	011-de-CL-15-C-0-08-AN-F-WE2_A062_4732s952	on va se promener à Orléans 	15	decla	clair	B	F	CL67	08	011	NO	NO	3	NO	NO	YES	NO	mais pas pour dire on va se promener à Orléans 	YES		WE2_A062_4732s952		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
071-de-OR-15-C-0-08-AN-F-WE2_A062_4732s952	071-de-OR-15-A-0-08-AN-F-WE2_A062_4732s952	on va se promener à Orléans 	15	decla	orig	C	F	CL67	08	071	NO	NO	3	NO	NO	YES	NO	mais pas pour dire on va se promener à Orléans 	YES		WE2_A062_4732s952		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
131-de-DE-15-A-0-08-AN-F-WE2_A062_4732s952	131-de-DE-15-B-0-08-AN-F-WE2_A062_4732s952	on va se promener à Orléans 	15	decla	delex	A	F	CL67	08	131	NO	NO	3	NO	NO	YES	NO	mais pas pour dire on va se promener à Orléans 	YES		WE2_A062_4732s952		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
012-de-CL-16-A-0-05-AB-F-WE2_A063_1111s566	012-de-CL-16-A-0-05-AB-F-WE2_A063_1111s566	c'est trop polémique 	16	decla	clair	A	F	AG68	05	012	NO	NO	4	NO	NO	YES	NO	et pas de parents d'élèves non plus parce que c'est trop polémique 	YES		WE2_A063_1111s566		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE
072-de-OR-16-B-0-05-AB-F-WE2_A063_1111s566	072-de-OR-16-B-0-05-AB-F-WE2_A063_1111s566	c'est trop polémique 	16	decla	orig	B	F	AG68	05	072	NO	NO	4	NO	NO	YES	NO	et pas de parents d'élèves non plus parce que c'est trop polémique 	YES		WE2_A063_1111s566		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE
132-de-DE-16-C-0-05-AB-F-WE2_A063_1111s566	132-de-DE-16-C-0-05-AB-F-WE2_A063_1111s566	c'est trop polémique 	16	decla	delex	C	F	AG68	05	132	NO	NO	4	NO	NO	YES	NO	et pas de parents d'élèves non plus parce que c'est trop polémique 	YES		WE2_A063_1111s566		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE
013-de-CL-17-C-0-08-AB-F-WE2_A063_537s475	013-de-CL-17-B-0-08-AB-F-WE2_A063_537s475	c'est quand même faisable en vélo 	17	decla	clair	C	F	AG68	08	013	NO	NO	3	NO	NO	YES	NO	quoi c'est quand même faisable en vélo 	YES		WE2_A063_537s475		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE
073-de-OR-17-A-0-08-AB-F-WE2_A063_537s475	073-de-OR-17-C-0-08-AB-F-WE2_A063_537s475	c'est quand même faisable en vélo 	17	decla	orig	A	F	AG68	08	073	NO	NO	3	NO	NO	YES	NO	quoi c'est quand même faisable en vélo 	YES		WE2_A063_537s475		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE
133-de-DE-17-B-0-08-AB-F-WE2_A063_537s475	133-de-DE-17-A-0-08-AB-F-WE2_A063_537s475	c'est quand même faisable en vélo 	17	decla	delex	B	F	AG68	08	133	NO	NO	3	NO	NO	YES	NO	quoi c'est quand même faisable en vélo 	YES		WE2_A063_537s475		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE
014-de-CL-18-B-0-06-AB-F-WE2_A063_783s321	014-de-CL-18-C-0-06-AB-F-WE2_A063_783s321	ils sont enthousiastes 	18	decla	clair	B	F	AG68	06	014	NO	NO	3	NO	NO	YES	NO	ils sont toujours heu contents de tout ils sont enthousiastes 	YES		WE2_A063_783s321		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE
074-de-OR-18-C-0-06-AB-F-WE2_A063_783s321	074-de-OR-18-A-0-06-AB-F-WE2_A063_783s321	ils sont enthousiastes 	18	decla	orig	C	F	AG68	06	074	NO	NO	3	NO	NO	YES	NO	ils sont toujours heu contents de tout ils sont enthousiastes 	YES		WE2_A063_783s321		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE
